ID_platillo,Nombre,Precio,Descripción (Nulleable),Imagen,ID_subseccion
174,Teriyaki,60,"Mezcla de lechugas, zanahoria, col morada y tortilla frita. Pechuga de pollo estilo teriyaki con semillas de sésamo.",'../../../images/cuckoo/p_ensalada_teriyaki.jpeg',24
175,Grill Chicken,55,"Mezcla de Lechugas, zanahoria, tomate, croutones y queso parmesano. Pechuga de pollo a la plancha.",'../../../images/cuckoo/p_ensalada_grill_chicken.jpeg',24
176,Queso Panela y Jamón,55,"Mezcla de lechugas, zanahoria, tomate, croutones y queso parmesano. Queso panela y jamón.",'../../../images/cuckoo/p_ensalada_queso_jamon.jpeg',24
177,Vegana,50,"Mezcla de lechugas, zanahoria, tomate, pepino, granos de elote, aceitunas y croutones.",'../../../images/cuckoo/p_ensalada_vegana.jpeg',24
178,Americano,20,,'../../../images/cuckoo/p_cafe_americano.jpeg',25
179,Espresso,20,,'../../../images/cuckoo/p_cafe_ espresso.jpeg',25
180,Capuchino,30,,'../../../images/cuckoo/p_cafe_capuchino.jpeg',25
181,Capuchino Vainilla,40,,'../../../images/cuckoo/p_cafe_capuchino_vainilla.jpeg',25
182,Capuchino Avellanas,40,,'../../../images/cuckoo/p_cafe_capuchino_avellanas.jpeg',25
183,Capuchino Crema Irlandesa,40,,'../../../images/cuckoo/p_cafe_capuchino_irlandesa.jpeg',25
184,Latte,33,,'../../../images/cuckoo/p_cafe_latte.jpeg',25
185,Latte Vainilla,43,,'../../../images/cuckoo/p_cafe_latte_vainilla.jpeg',25
186,Latte Avellanas,43,,'../../../images/cuckoo/p_cafe_latte_avellanas.jpeg',25
187,Latte Crema Irlandesa,43,,'../../../images/cuckoo/p_cafe_latte_irlandesa.jpeg',25
188,Caramel Machiatto,43,,'../../../images/cuckoo/p_cafe_caramel_machiatto.jpeg',25
189,Avellanas Machiatto,43,,'../../../images/cuckoo/p_cafe_avellanas_machiatto.jpeg',25
190,Mocha,35,,'../../../images/cuckoo/p_cafe_mocha.jpeg',25
191,Mocha Blanco,45,,'../../../images/cuckoo/p_cafe_mocha_blanco.jpeg',25
192,Mocha Menta,45,,'../../../images/cuckoo/p_cafe_mocha_menta.jpeg',25
193,Dirty Chai,53,Chai + Espresso,'../../../images/cuckoo/p_cafe_dirty_chai.jpeg',25
194,Americano Helado,28,,'../../../images/cuckoo/p_americano_helado.jpeg',26
195,Cold Brew,35,,'../../../images/cuckoo/p_cold_brew.jpeg',26
196,Vanilla Cold  Brew,39,,'../../../images/cuckoo/p_vanilla_cold_brew.jpeg',26
197,Caramel Machiatto Helado,49,,'../../../images/cuckoo/p_caramel_machiatto_helado.jpeg',26
198,Avellanas Machiatto Helado,49,,'../../../images/cuckoo/p_avellanas_machiatto_helado.jpeg',26
199,Latte Helado,35,,'../../../images/cuckoo/p_latte_helado.jpeg',26
200,Latte Helado Vainilla,45,,'../../../images/cuckoo/p_latte_helado_vainilla.jpeg',26
201,Latte Helado Avellanas,45,,'../../../images/cuckoo/p_latte_helado_avellanas.jpeg',26
202,Latte Helado Crema Irlandesa,45,,'../../../images/cuckoo/p_latte_helado_irlandesa.jpeg',26
203,Mocha Helado,38,,'../../../images/cuckoo/p_mocha_helado.jpeg',26
204,Mocha Blanco Helado,48,,'../../../images/cuckoo/p_mocha_blanco_helado.jpeg',26
205,Mocha Menta Helado,48,,'../../../images/cuckoo/p_mocha_menta_helado.jpeg',26
206,Carga Extra Espresso,8,,,27
207,Shot de Leche,8,,,27
208,Cambio por Leche Vegetal,8,,,27
209,Shot de Sabor,10,,,27
210,Chai Latte,45,,'../../../images/cuckoo/p_Chai_latte.jpeg',28
211,Green Matcha Latte,49,,'../../../images/cuckoo/p_Green_matcha_latte.jpeg',28
212,Blue Matcha Latte,49,,'../../../images/cuckoo/p_Blue_matcha_latte.jpeg',28
213,Chocolate Oaxaqueño de Leche,32,,'../../../images/cuckoo/p_chocolate_leche.jpeg',28
214,Chocolate Oaxaqueño de Agua,28,,'../../../images/cuckoo/p_chocolate_agua.jpeg',28
215,Tisanas,28,,'../../../images/cuckoo/p_tisanas.jpeg',28
216,Tés,28,,'../../../images/cuckoo/p_tes.jpeg',28
217,Chai Latte Helado,55,,'../../../images/cuckoo/p_Chai_latte_H.jpeg',29
218,Green Matcha Latte Helado,59,,'../../../images/cuckoo/p_Green_matcha_latte_H.jpeg',29
219,Blue Matcha Latte Helado,59,,'../../../images/cuckoo/p_Blue_matcha_latte_H.jpeg',29
220,Tisanas Heladas,32,,'../../../images/cuckoo/p_tisanas_H.jpeg',29
221,Tés Helados,32,,'../../../images/cuckoo/p_tes_H.jpeg',29
222,Original,35,,'../../../images/cuckoo/p_limo_original.jpeg',30
223,Con Fresas,39,,'../../../images/cuckoo/p_limo_fresas.jpeg',30
224,Mojito,39,,'../../../images/cuckoo/p_limo_mojito.jpeg',30
225,Blue Butterfly,49,,'../../../images/cuckoo/p_blue_butterfly.jpeg',30
226,Half & Half Té Negro,45,,'../../../images/cuckoo/p_limo_half_te_negro.jpeg',30
227,Half & Half Té Verde,45,,'../../../images/cuckoo/p_limo_half_te_verde.jpeg',30
228,Pomodoro,65,"Pan multigrano, queso mozarella, tomate deshidratado, albahaca, pechuga de pollo al pesto",'../../../images/delyfull/p_pomodoro.png',31
229,Atún & Aguacate,65,"Atún, aguacate, espinacas, queso mozarella",'../../../images/delyfull/p_atun_aguacate.png',31
230,Turkey Palermo,65,"Jamón de pavo orgánico, espinacas, cebolla morada, tomate, queso, mozarella, aguacate, mayonesa y pesto",'../../../images/delyfull/p_turkey_palermo.jpeg',31
231,Griega,75,"Tomate, aceitunas, pepino, lechuga italiana, feta",'../../../images/delyfull/p_griega.jpg',32
232,Oriental,75,"Fideos de arroz, aderezo de cacahuate",'../../../images/delyfull/p_oriental.jpg',32
233,Paraíso Balsámico,75,"Fresa, manzana, almendras, lechugas, Vinagreta Raspberry",'../../../images/delyfull/p_paraiso_balsamico.jpg',32
234,Cesar Pollo,85,,'../../../images/delyfull/p_cesar_pollo.jpg',32
235,Jamón de Pavo,85,,'../../../images/delyfull/p_Jamon_pavo.jpeg',33
236,Chicken Roma,85,,'../../../images/delyfull/p_Chicken_roma.jpg',33
237,Queso gratinado,80,,'../../../images/delyfull/p_queso_gratinado.jpg',33
238,Hamburguesa Vegana,65,,'../../../images/delyfull/p_ham_vegana.jpg',34
239,Hamburguesa Chorizo con queso,65,,'../../../images/delyfull/p_ham_chorizo_queso.jpg',34
240,Pudín de chía,45,,'../../../images/delyfull/p_pudin_chia.jpg',35
241,Over Night Oats,45,,'../../../images/delyfull/p_Night_oats.jpg',35
242,Americano,20,,'../../../images/delyfull/p_cafe_americano.jpg',36
243,Café con leche,25,,'../../../images/delyfull/p_cafe_leche.jpg',36
244,Capuccino,25,,'../../../images/delyfull/p_capuccino.jpeg',36
245,Latte,25,,'../../../images/delyfull/p_latte.jpg',36
246,Capuccino Vainilla,25,,'../../../images/delyfull/p_capuccino_vainilla.jpeg',36
247,Latte Vainilla,25,,'../../../images/delyfull/p_latte_vainilla.jpeg',36
248,Chocolate Caliente,25,,'../../../images/delyfull/p_chocolate_caliente.jpg',36
249,Moka Canela,25,,'../../../images/delyfull/p_moka_caliente.jpg',36
250,Mokaccino,25,,'../../../images/delyfull/p_mokaccino.jpeg',36
251,Chocovainilla,25,,'../../../images/delyfull/p_chocovainilla.jpg',36
252,Dely Mojito,50,,'../../../images/delyfull/p_delymojito.jpg',37
253,Dely Citrus,50,,'../../../images/delyfull/p_delycitrus.jpeg',37
254,Dely Berry,70,,'../../../images/delyfull/p_delyberry.jpg',38
255,Dely Full,70,,'../../../images/delyfull/p_delyfull.jpg',38
256,DelyMoka,70,,'../../../images/delyfull/p_delymoka.jpg',38
257,DelyCacao,70,,'../../../images/delyfull/p_delycacao.jpg',38
258,Manzana con chile,40,,'../../../images/delyfull/p_manzana_chile.jpg',39
259,Carlota,28,,'../../../images/delyfull/p_carlota.jpg',39
260,Coctel de frutas,35,,'../../../images/delyfull/p_coctel_frutas.jpg',39
261,Malangas,35,,'../../../images/delyfull/p_malangas.jpg',39
262,Buble Tea,40,,'../../../images/delyfull/p_buble_tea.jpg',40
263,Chai Late,40,,'../../../images/delyfull/p_chai_late.jpg',40
264,Agua + Ciabatta + Ensalada/Malanga,100,,'../../../images/delyfull/p_Combo1.jpg',41
265,Smoothie + Ciabata + Malangas,160,,'../../../images/delyfull/p_Combo2.jpeg',41
